_id,cod_ccr,nome_ccr,cr_ccr,ch_ccr,desc_matriz,fase_oferta,ccr_obrigatorio,ccr_optativo,nome_campus,cod_uffs,cod_emec,nome_curso,turno,per_ingresso,em_andamento,data_atualizacao
106eae19-0008-418a-89cb-11a33754f6dd,GCH694,Sociologia da autonomia,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
de14c3a9-d8c5-432f-9edf-b6afd89a31c6,GCH695,Sociologia da cultura,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
02a12dcb-e61b-445a-8d83-1a3f68c7fd50,GCH696,Marxismo heterodoxo,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
4234b1e9-aaeb-4259-ac05-74eb8eb38454,GCH697,Pensamento político latino-americano,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
4e6e7272-b34d-430f-85d0-2f216ca61bf1,GCH698,Política brasileira,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
d4ff930f-5c10-4de4-9cb7-df58d9cd7950,GCH699,Sociologia brasileira,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
1e70a103-8129-464d-9d6c-604dddabfedb,GCH700,Sociologia da juventude,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
293fc80b-3895-4b0a-972c-8b28653d5e21,GCH701,Sociologia urbana,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
a37e0ffc-b46f-477f-bfa7-99c7d3759934,GCH702,Teorias do estado I,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
b7989a1a-0617-4bbd-b6e4-7b3f606b6669,GCH703,Teorias do estado II,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
63d2c0c0-c7c2-439a-afeb-8de548da0263,GCH704,Tópicos especiais de antropologia I,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
f505e2db-30c7-468d-894d-6fb523c26aa9,GCH705,Tópicos especiais de antropologia II,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
57115d98-4c24-442a-b304-52153320f46c,GCH706,Tópicos especiais de antropologia III,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
a9fd48e8-bef9-4cbc-8359-3f6475ee412e,GCH707,Tópicos especiais de antropologia IV,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
9278c863-d848-48ac-b4f1-635cb649f780,GCH708,Tópicos especiais de antropologia V,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
5a1d6b53-4bea-4cfd-9608-cc7cc1bd49b8,GCH709,Tópicos especiais de teoria política I,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
b028af0c-bf00-4a12-975c-4996d12079df,GCH710,Tópicos especiais de teoria política II,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
d3c9232c-74f7-4a09-898c-baa86fc14abf,GCH711,Tópicos especiais de teoria política III,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
eb464b64-4ada-4db0-8fe5-05b95a108739,GCH712,Tópicos especiais de teoria política IV,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
cb9784e4-e62f-47d1-8bb3-cbda97fa10ea,GCH713,Tópicos especiais de teoria política V,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
145fb145-e55a-4f63-b985-af82cf057cfc,GCH715,Tópicos especiais de sociologia II,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
adc893e4-1962-4f6e-ae9a-09328b8dfbdf,GCH716,Tópicos especiais de sociologia III,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
1c7a1290-0fcc-4593-a610-51fe49fdc7ad,GCH717,Tópicos especiais de sociologia IV,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
50ee66a4-6be5-4b4a-9d71-054626a02778,GCH718,Tópicos especiais de sociologia V,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
