_id,nome_campus,ano,semestre,cod_ccr,nome_ccr,cr_ccr,ch_ccr,id_turma,desc_turma,tem_turma,cod_uffs_curso_turma,curso_turma,fase_turma,lista_docentes_ch,ch_teorica,ch_pratica,vagas_turma,qtd_inscritos,qtd_concluiram,sit_turma,data_atualizacao
daea2693-db59-4562-8a66-7f43bcfd45ce,Chapecó,2018,2,GCH401,Tópicos especiais em filosofia política I,4,60,22594,Filosofia (Optativo) - 8ª Fase - Noturno - 2018/2,,1701,FILOSOFIA,8,"[{""docente"":""FLAVIO MIGUEL DE OLIVEIRA ZIMMERMANN"",""ch_docente"":60}]",0,0,50,14,12,Encerrada,2021-08-19
6526ca53-2dc9-4399-bd5c-88715af6e767,Realeza,2017,2,GLA007,Introdução aos estudos literários,4,60,18656,Letras: Português e Espanhol - 2ª Fase - Noturno - 2017/2,,3803,LETRAS - PORTUGUÊS E ESPANHOL,2,"[{""docente"":""SERGIO ROBERTO MASSAGLI"",""ch_docente"":60}]",0,0,35,31,31,Encerrada,2021-08-19
f805eda9-613f-4a9e-924c-ae7590392cd4,Chapecó,2018,1,GLA006,Estudos da língua portuguesa I: fonética e fonologia,3,45,20994,Letras (Português e Espanhol) - 3ª Fase - Noturno -  2018/1,,1801,LETRAS - PORTUGUÊS E ESPANHOL,3,"[{""docente"":""MARCELO JACO KRUG"",""ch_docente"":45}]",0,0,50,49,42,Encerrada,2021-08-19
05ae2628-240b-4d77-8514-9f7c392a8bc1,Realeza,2012,1,GCB037,Microbiologia de alimentos,4,60,2105,Nutrição (TA) - 5ª fase - Integral - 2012/1,,3410,NUTRIÇÃO,5,"[{""docente"":""ALEXANDRE CARVALHO DE MOURA"",""ch_docente"":60}]",0,0,20,15,15,Encerrada,2021-08-19
da5719f7-2088-4106-a26a-100cb3d7f538,Realeza,2016,2,GSA058,Estágio curricular supervisionado em nutrição clínica,16,240,15877,Nutrição (Turma A) - 10ª Fase - Integral - 2016/2,,3410,NUTRIÇÃO,10,"[{""docente"":""ELIANI FRIZON"",""ch_docente"":60},{""docente"":""MARCIA FERNANDES NISHIYAMA"",""ch_docente"":30},{""docente"":""ELOA ANGELICA KOEHNLEIN"",""ch_docente"":30}]",0,0,8,8,8,Encerrada,2021-08-19
24a87d7e-8531-4a7c-9d02-5b27b9953a54,Chapecó,2019,1,GCS545,Gestão de pessoas II,4,60,23839,Administração - 7ª Fase - Matutino - 2019/1,,1600,ADMINISTRAÇÃO,7,"[{""docente"":""KELLY CRISTINA BENETTI TONANI TOSTA"",""ch_docente"":60}]",0,0,50,7,7,Encerrada,2021-08-19
95c1a81b-3deb-4682-9813-1d009b3e6180,Erechim,2016,2,GCA055,Olericultura,4,60,15881,Agronomia - 8ª Fase - Integral - 2016/2,,5502,AGRONOMIA,8,"[{""docente"":""CHIRLENE MÁRCIA OLDONI"",""ch_docente"":60}]",0,0,50,26,26,Encerrada,2021-08-19
ecf1d7a6-6e76-406a-bc4d-592ed7ab04dd,Erechim,2016,2,GCH291,Introdução ao pensamento social,4,60,15887,Agronomia - 2ª Fase - Integral - 2016/2,,5502,AGRONOMIA,2,"[{""docente"":""ISIS OLIVEIRA BASTOS MATOS"",""ch_docente"":60}]",0,0,54,54,53,Encerrada,2021-08-19
783280cd-1ca8-4764-b669-7939e7d11709,Chapecó,2018,1,GCH029,História da fronteira Sul,4,60,21000,Letras (Português e Espanhol) - 3ª Fase - Noturno -  2018/1,,1801,LETRAS - PORTUGUÊS E ESPANHOL,3,"[{""docente"":""FERNANDO VOJNIAK"",""ch_docente"":30},{""docente"":""JAISSON TEIXEIRA LINO"",""ch_docente"":30}]",0,0,50,50,42,Encerrada,2021-08-19
2ac49b28-f53b-4c52-8191-4ac78d7df50c,Chapecó,2019,1,GCS086,Empreendimentos e modelos de negociação,2,30,23842,Administração - 9ª Fase - Matutino - 2019/1,,1600,ADMINISTRAÇÃO,9,"[{""docente"":""HUMBERTO TONANI TOSTA"",""ch_docente"":30}]",0,0,50,17,15,Encerrada,2021-08-19
